OrderID,Quantity,UnitPrice(USD),Status,OrderDate,Product_Category,Sales_Manager,Shipping_Cost(USD),Delivery_Time(Days),Shipping_Address,Product_Code
27952,73,136,Shipped,2021-11-24,Entertainment,Abdul,24,17,Singapore,ENT-188
15064,47,197,Delivered,2021-11-16,Office,Pablo,21,11,Singapore,O-203
30827,92,201,Shipped,2021-10-02,Office,John,27,24,Kenya,O-203
36948,7,156,Not Delivered,2021-11-01,Entertainment,Stella,34,23,Kenya,ENT-203
22209,85,155,Delivered,2021-10-13,Entertainment,Pablo,28,19,Singapore,ENT-101
28959,83,112,Shipped,2021-08-20,Entertainment,Stella,22,25,Italy,ENT-188
32261,30,163,Not Delivered,2021-12-24,Entertainment,Maria,27,11,China,ENT-555
37036,38,109,Not Shipped,2021-11-24,Home,Sofia,23,17,UK,H-555
37670,21,163,Delivered,2021-10-04,Home,Anthony,28,22,Germany,H-630
26700,18,239,Not Delivered,2021-07-17,Entertainment,Stella,21,13,USA,ENT-630
34573,95,182,Not Shipped,2021-11-16,Healthcare,John,28,25,Singapore,HC-203
21993,35,219,Not Delivered,2021-07-30,Office,Stella,24,,Kenya,O-630
48265,48,230,Delivered,2021-09-06,Fashion,Maria,29,19,Italy,F-188
25781,51,121,Not Delivered,2021-10-19,Fashion,Abdul,30,12,UK,F-630
39926,84,160,Delivered,2021-08-08,Fashion,Pablo,26,14,USA,F-188
17069,59,168,Not Delivered,2021-10-01,Entertainment,Kristen,32,19,China,ENT-901
37364,87,136,Not Shipped,2021-09-14,Office,Kristen,20,20,Kenya,O-901
44768,88,106,Not Shipped,2021-10-24,Home,Emma,29,20,Singapore,H-203
37266,45,122,Shipped,2021-07-04,Healthcare,Emma,30,15,UK,HC-901
39336,57,187,Shipped,2021-12-18,Fashion,Maria,34,25,India,F-203
18824,73,148,Not Delivered,2021-09-13,Healthcare,Anthony,30,17,USA,HC-101
37892,48,230,Not Shipped,2021-10-04,Healthcare,Kristen,21,17,USA,HC-901
27106,90,148,Shipped,2021-08-28,Healthcare,Abdul,30,17,Kenya,HC-188
39817,32,153,Not Shipped,2021-11-07,Healthcare,John,24,24,UK,HC-555
31264,83,140,Delivered,2021-12-22,Entertainment,Anthony,30,23,Italy,ENT-630
50275,79,135,Shipped,2021-08-11,Home,Kristen,22,21,India,H-101
13140,85,208,Not Delivered,2021-07-11,Home,Jacob,20,11,UK,H-203
14375,10,200,Not Delivered,2021-07-30,Entertainment,Sofia,24,15,Singapore,ENT-555
30705,60,120,Not Delivered,2021-08-03,Office,John,23,18,India,O-188
30081,81,226,Shipped,2021-07-15,Healthcare,Sofia,22,19,Italy,HC-901
30596,35,167,Not Shipped,2021-11-25,Home,Abdul,34,25,Germany,H-555
32062,19,197,Delivered,2021-09-10,Office,Stella,30,18,Italy,O-630
40406,93,197,Not Delivered,2021-09-07,Office,John,20,13,India,O-630
42307,90,126,Not Delivered,2021-12-10,Fashion,Maria,30,18,Kenya,F-203
14644,95,227,Shipped,2021-10-26,Healthcare,Sofia,30,18,UK,HC-901
48346,76,133,Shipped,2021-07-17,Home,Emma,22,17,Germany,H-901
13644,73,154,Not Shipped,2021-07-16,Home,Emma,33,15,India,H-203
47591,20,190,Delivered,2021-12-04,Entertainment,Maria,28,16,China,ENT-555
12670,8,234,Delivered,2021-09-16,Healthcare,Abdul,32,21,UK,HC-901
35621,57,111,Not Delivered,2021-11-25,Entertainment,Abdul,26,24,Kenya,ENT-555
24110,17,235,Shipped,2021-11-01,Home,Jacob,35,21,USA,H-630
23702,48,159,Not Shipped,2021-08-08,Fashion,John,24,20,USA,F-203
32815,48,243,Shipped,2021-10-20,Entertainment,Pablo,30,15,USA,ENT-630
28601,80,235,Shipped,2021-09-19,Healthcare,Pablo,26,21,India,HC-901
28890,52,134,Delivered,2021-07-16,Entertainment,Abdul,29,20,China,ENT-188
14535,49,230,Not Shipped,2021-10-24,Home,Jacob,34,15,India,H-101
10571,75,172,Not Shipped,2021-10-03,Entertainment,Pablo,24,22,China,ENT-555
27020,27,228,Delivered,2021-11-02,Fashion,Pablo,27,13,UK,F-203
15963,2,170,Shipped,2021-10-12,Entertainment,Pablo,29,22,Italy,ENT-555
38883,18,123,Shipped,2021-11-13,Fashion,Abdul,20,24,UK,F-188
46742,53,129,Delivered,2021-11-11,Home,Jacob,28,10,China,H-630
33336,18,223,Shipped,2021-12-12,Office,John,34,23,Germany,O-203
26484,91,118,Delivered,2021-12-18,Healthcare,Abdul,29,23,Singapore,HC-901
11112,19,144,Not Shipped,2021-10-26,Fashion,Pablo,27,12,UK,F-101
24912,39,246,Delivered,2021-07-10,Entertainment,John,31,25,China,ENT-203
38993,87,168,Delivered,2021-08-11,Healthcare,Abdul,26,24,Germany,HC-555
21655,47,218,Not Shipped,2021-12-12,Fashion,John,28,16,Italy,F-630
33445,40,243,Not Shipped,2021-10-29,Healthcare,Jacob,33,17,Italy,HC-555
27481,50,199,Shipped,2021-08-08,Home,Emma,27,19,Singapore,H-555
10744,50,121,Delivered,2021-07-31,Office,Sofia,32,23,Singapore,O-203
18451,91,183,Delivered,2021-10-10,Office,Anthony,32,20,UK,O-203
14340,70,201,Delivered,2021-09-13,Healthcare,Emma,35,25,Italy,HC-101
29677,49,234,Not Shipped,2021-11-01,Healthcare,John,31,21,Italy,HC-203
47922,36,240,Not Shipped,2021-10-24,Fashion,John,31,23,Kenya,F-203
26233,2,107,Not Shipped,2021-10-04,Healthcare,Jacob,27,10,USA,HC-188
45445,36,236,Shipped,2021-07-28,Fashion,Abdul,25,14,Italy,F-101
31516,90,163,Shipped,2021-11-02,Healthcare,Sofia,31,22,Singapore,HC-630
39389,29,229,Not Shipped,2021-07-10,Office,Emma,29,13,Singapore,O-101
14370,65,213,Delivered,2021-10-29,Fashion,Jacob,22,17,Kenya,F-630
24142,65,158,Not Shipped,2021-10-24,Home,Kristen,22,17,Kenya,H-101
38154,52,203,Shipped,2021-09-02,Entertainment,Kristen,33,10,Germany,ENT-630
20092,48,201,Delivered,2021-07-15,Office,Maria,30,10,Kenya,O-188
34056,50,124,Delivered,2021-11-28,Office,Abdul,30,23,UK,O-901
37287,25,112,Not Delivered,2021-07-12,Home,Maria,34,21,India,H-203
47653,59,186,Not Delivered,2021-12-30,,Kristen,28,15,USA,HC-101
31862,78,215,Shipped,2021-11-25,Entertainment,Sofia,29,19,India,ENT-630
27469,20,135,Delivered,2021-11-27,Office,Stella,27,12,China,O-203
50117,23,218,Not Delivered,2021-08-11,Office,Abdul,23,25,China,O-101
17281,9,235,Shipped,2021-12-08,Office,John,35,23,India,O-901
39664,99,154,Shipped,2021-07-03,Entertainment,Jacob,21,17,India,ENT-630
45144,21,114,Not Delivered,2021-10-04,Healthcare,Abdul,20,12,Kenya,HC-101
23125,37,195,Delivered,2021-10-04,Office,Kristen,26,11,Kenya,O-101
43098,41,100,Shipped,2021-07-11,Home,Maria,26,22,Singapore,H-188
49944,75,160,Not Delivered,2021-12-09,Home,Abdul,20,17,USA,H-630
23447,27,137,Shipped,2021-10-12,Office,Anthony,27,21,Italy,O-555
32600,64,155,Not Shipped,2021-09-20,Home,Anthony,25,21,Italy,H-188
26603,99,121,Delivered,2021-10-25,Home,Emma,31,12,USA,H-101
34287,70,121,Not Delivered,2021-07-07,Fashion,John,28,13,UK,F-901
49607,6,101,Shipped,2021-10-12,Healthcare,Emma,31,18,Singapore,HC-630
16582,16,111,Not Delivered,2021-08-14,Home,Anthony,34,11,Singapore,H-555
26469,86,132,Delivered,2021-09-16,Healthcare,John,21,21,UK,HC-630
27277,34,195,Delivered,2021-12-18,Fashion,Anthony,26,13,Singapore,F-101
31213,84,218,Delivered,2021-10-07,Fashion,Abdul,33,22,Italy,F-188
39433,58,101,Shipped,2021-09-18,Entertainment,Maria,35,14,USA,ENT-188
11472,89,140,Not Delivered,2021-07-15,Fashion,Stella,23,15,China,F-901
23944,35,149,Not Delivered,2021-10-10,Healthcare,Maria,28,18,Singapore,HC-203
22332,37,104,Delivered,2021-08-27,Entertainment,John,30,12,USA,ENT-203
40822,38,199,Not Shipped,2021-10-12,Healthcare,Pablo,26,22,USA,HC-630
33857,55,125,Not Shipped,2021-07-08,Entertainment,Emma,29,15,China,ENT-188
27253,29,130,Not Shipped,2021-10-26,Home,John,25,22,Germany,H-901
19092,19,159,Not Shipped,2021-10-07,Entertainment,Abdul,25,18,UK,ENT-555
45417,21,124,Shipped,2021-11-21,Office,Abdul,24,14,China,O-555
15701,18,174,Not Delivered,2021-09-14,Office,Kristen,32,12,Singapore,O-901
31023,29,163,Not Shipped,2021-12-21,Home,Anthony,26,13,Italy,H-630
47071,34,167,Not Delivered,2021-07-31,Home,Anthony,21,23,Germany,H-555
10441,98,192,Shipped,2021-09-02,Office,John,21,10,China,O-203
18503,5,168,Delivered,2021-09-02,Office,Maria,28,12,USA,O-101
32114,16,235,Not Shipped,2021-09-20,Fashion,Sofia,33,22,Germany,F-101
26432,78,200,Delivered,2021-07-16,Fashion,Anthony,23,20,Singapore,F-555
19236,3,147,Delivered,2021-12-24,Office,Anthony,20,21,Italy,O-203
29308,3,190,Not Shipped,2021-10-11,Office,Pablo,21,20,China,O-555
30276,3,151,Shipped,2021-08-14,Entertainment,Jacob,24,13,India,ENT-203
17307,76,185,Delivered,2021-12-30,Entertainment,Sofia,25,12,Kenya,ENT-555
20646,62,235,Shipped,2021-11-21,Office,Stella,22,21,Kenya,O-555
20205,91,162,Not Shipped,2021-10-04,Healthcare,Abdul,30,17,China,HC-188
46969,10,181,Shipped,2021-12-05,Entertainment,John,27,22,Germany,ENT-101
35126,87,102,Not Delivered,2021-07-07,Fashion,Maria,22,10,Kenya,F-555
27686,100,241,Not Shipped,2021-12-18,Office,Kristen,29,12,UK,O-555
24404,36,225,Delivered,2021-10-03,Healthcare,Anthony,34,25,Italy,HC-901
15918,12,155,Not Delivered,2021-11-24,Office,Pablo,33,17,UK,O-901
18647,3,130,Shipped,2021-10-20,Healthcare,John,28,18,India,HC-203
47519,38,218,Shipped,2021-07-07,Office,John,20,19,China,O-555
35067,88,153,Shipped,2021-09-19,Home,Kristen,28,14,Singapore,H-630
16865,35,164,Not Delivered,2021-10-01,Office,Jacob,21,21,India,O-901
34812,96,211,Delivered,2021-10-25,Healthcare,Kristen,32,12,Singapore,HC-188
22791,18,147,Not Delivered,2021-07-06,Office,Stella,28,13,Italy,O-555
42048,21,125,Not Delivered,2021-07-04,Entertainment,Jacob,27,19,UK,ENT-188
14468,45,171,Not Shipped,2021-07-16,Entertainment,Maria,30,22,China,ENT-630
49747,96,215,Not Delivered,2021-10-29,Office,Sofia,25,12,China,O-101
30040,9,113,Not Shipped,2021-08-08,Office,Maria,30,17,Singapore,O-630
36672,2,184,Shipped,2021-12-06,Entertainment,Anthony,28,22,USA,ENT-630
37656,29,161,Delivered,2021-08-26,Fashion,Sofia,30,22,UK,F-101
13815,87,123,Shipped,2021-10-17,Fashion,Pablo,20,16,Kenya,F-203
43221,76,157,Not Shipped,2021-07-04,Home,Emma,29,19,USA,H-101
32815,57,217,Not Delivered,2021-11-07,Fashion,John,24,22,Kenya,F-901
10596,24,134,Delivered,2021-09-07,Healthcare,Maria,23,12,China,HC-555
14458,91,226,Not Shipped,2021-12-26,Home,Kristen,21,25,India,H-203
10572,53,117,Not Delivered,2021-10-03,Fashion,John,27,13,Singapore,F-555
15778,82,126,Not Shipped,2021-12-13,Home,John,32,17,Kenya,H-555
16099,14,154,Not Delivered,2021-12-08,Fashion,Anthony,26,15,India,F-901
17026,10,126,Not Delivered,2021-12-08,Home,John,30,17,UK,H-630
32972,91,210,Not Delivered,2021-07-05,Office,Pablo,25,16,India,O-203
39568,99,109,Delivered,2021-08-26,Fashion,Abdul,35,23,Kenya,F-101
50313,79,180,Delivered,2021-07-12,Healthcare,Anthony,29,14,USA,HC-901
24491,82,162,Not Shipped,2021-07-07,Healthcare,Abdul,31,10,Kenya,HC-630
39904,43,148,Shipped,2021-07-11,Home,Jacob,24,10,USA,H-630
28520,34,108,Shipped,2021-11-27,Fashion,Abdul,23,21,Germany,F-555
31600,69,118,Not Shipped,2021-09-30,Healthcare,John,27,12,Germany,HC-901
50425,53,217,Shipped,2021-11-02,Entertainment,Kristen,25,19,India,ENT-901
43390,42,128,Shipped,2021-12-02,Healthcare,Jacob,30,12,Singapore,HC-188
33394,58,174,Not Delivered,2021-11-13,Healthcare,Maria,27,22,India,HC-203
17923,30,181,Shipped,2021-09-27,Entertainment,John,28,15,China,ENT-101
37438,30,113,Delivered,2021-09-19,Fashion,Maria,20,24,USA,F-555
27201,94,170,Shipped,2021-10-12,Entertainment,Stella,32,18,China,ENT-901
18795,67,217,Delivered,2021-09-02,Home,Stella,22,17,India,H-901
29066,72,243,Not Delivered,2021-12-10,Healthcare,Anthony,35,25,USA,HC-203
23513,33,118,Not Shipped,2021-07-12,Entertainment,Jacob,23,21,India,ENT-101
39655,92,147,Not Shipped,2021-09-02,Healthcare,Kristen,21,14,Singapore,HC-901
41575,89,199,Not Delivered,2021-10-01,Fashion,Emma,32,18,USA,F-630
43290,26,175,Not Delivered,2021-07-16,Fashion,John,27,17,UK,F-101
26471,42,152,Not Shipped,2021-12-02,Office,Pablo,20,19,Germany,O-901
41333,98,170,Shipped,2021-10-13,Home,Pablo,34,16,Germany,H-901
25987,47,115,Not Delivered,2021-10-04,Office,Sofia,28,19,China,O-203
22152,76,174,Not Shipped,2021-08-24,Entertainment,Sofia,28,17,USA,ENT-188
25910,80,233,Not Delivered,2021-10-29,Entertainment,Abdul,20,10,Singapore,ENT-555
31755,31,171,Not Delivered,2021-12-02,Entertainment,Kristen,29,10,India,ENT-901
10771,84,187,Not Delivered,2021-08-28,Home,Abdul,35,19,Italy,H-630
49837,62,182,Not Shipped,2021-11-25,Fashion,Sofia,24,21,Kenya,F-101
37178,89,164,Delivered,2021-11-20,Entertainment,Emma,33,12,Kenya,ENT-101
43985,39,250,Delivered,2021-10-29,Home,Pablo,34,11,UK,H-188
46723,9,163,Not Shipped,2021-11-16,Entertainment,John,26,21,Singapore,ENT-901
41409,28,227,Not Shipped,2021-09-06,Entertainment,Stella,27,10,USA,ENT-555
30448,39,182,Not Shipped,2021-12-18,Home,Maria,28,21,Kenya,H-101
48933,70,183,Delivered,2021-10-25,Home,Sofia,31,24,USA,H-901
48837,63,213,Not Shipped,2021-07-22,Entertainment,Anthony,28,15,Italy,ENT-630
18288,74,231,Not Delivered,2021-10-26,Home,Abdul,22,20,USA,H-101
45996,74,186,Not Shipped,2021-07-30,Office,Maria,29,12,India,O-101
46379,31,240,Not Delivered,2021-11-23,Home,Emma,22,20,Kenya,H-901
45034,89,218,Delivered,2021-07-16,Healthcare,John,23,15,India,HC-101
41095,24,142,Not Shipped,2021-09-20,Fashion,John,31,10,India,F-630
26339,47,224,Not Delivered,2021-07-07,Entertainment,Emma,26,22,UK,ENT-555
39462,92,146,Delivered,2021-12-29,Home,Maria,28,19,USA,H-630
36359,92,123,Not Shipped,2021-07-31,Home,Maria,28,23,Italy,H-101
42089,23,195,Shipped,2021-11-28,Home,John,27,25,USA,H-555
46984,81,178,Not Delivered,2021-07-11,Healthcare,Stella,34,17,Singapore,HC-630
29284,15,147,Not Shipped,2021-12-02,Home,Sofia,33,11,UK,H-188
26968,9,152,Delivered,2021-07-14,Healthcare,John,23,14,Kenya,HC-101
31876,93,193,Not Delivered,2021-09-07,Home,Kristen,21,14,USA,H-630
45751,74,182,Not Delivered,2021-08-26,Fashion,Emma,23,19,USA,F-630
35611,55,184,Not Shipped,2021-09-12,Fashion,Sofia,31,17,UK,F-630
40876,15,217,Shipped,2021-10-03,Healthcare,Sofia,30,17,China,HC-188
18104,46,121,Not Shipped,2021-07-30,Office,Anthony,20,23,China,O-630
24184,26,193,Not Shipped,2021-10-20,Office,Sofia,29,24,UK,O-630
34026,65,182,Delivered,2021-11-07,Office,John,20,21,Kenya,O-555
39327,89,102,Not Shipped,2021-11-23,Office,Jacob,21,15,USA,O-203
12216,77,245,Not Shipped,2021-12-12,Healthcare,Stella,24,13,Kenya,HC-630
32860,66,140,Delivered,2021-12-18,Healthcare,Maria,22,17,Singapore,HC-203
28702,80,170,Shipped,2021-07-29,Healthcare,Emma,32,17,USA,HC-630
22766,37,212,Delivered,2021-12-18,Fashion,Pablo,28,10,Kenya,F-901
25059,30,188,Shipped,2021-09-27,Healthcare,Maria,27,24,Italy,HC-630
37819,93,173,Not Shipped,2021-10-17,Fashion,Stella,20,10,UK,F-630
43309,35,141,Shipped,2021-10-12,Healthcare,Jacob,35,20,Italy,HC-101
11931,57,115,Shipped,2021-10-26,Home,Emma,22,23,UK,H-555
12237,14,229,Not Shipped,2021-11-13,,Abdul,34,11,UK,F-203
40940,71,131,Not Delivered,2021-08-27,Healthcare,John,22,14,Singapore,HC-901
44475,39,213,Shipped,2021-10-06,Healthcare,Maria,28,25,Singapore,HC-901
27758,4,236,Delivered,2021-07-30,Fashion,Pablo,24,18,Italy,F-901
16287,98,234,Not Shipped,2021-07-28,Fashion,John,29,20,China,F-203
18133,94,165,Delivered,2021-11-16,Entertainment,Anthony,26,18,UK,ENT-203
25364,71,240,Not Delivered,2021-08-24,Fashion,Sofia,28,12,India,F-101
25238,72,150,Shipped,2021-09-20,Entertainment,Sofia,31,14,Italy,ENT-203
40506,41,225,Shipped,2021-10-10,Healthcare,Abdul,34,14,China,HC-101
33727,60,207,Not Delivered,2021-10-14,Healthcare,John,20,16,Italy,HC-630
38815,27,113,Not Shipped,2021-09-10,Home,Emma,22,24,India,H-901
10360,51,102,Not Delivered,2021-08-29,Home,John,22,23,Kenya,H-555
49854,43,125,Not Shipped,2021-07-31,Healthcare,Jacob,26,23,China,HC-188
13303,12,242,Shipped,2021-09-06,Fashion,John,25,16,China,F-901
44158,77,186,Not Shipped,2021-11-13,Healthcare,Pablo,30,17,Germany,HC-188
12391,59,172,Shipped,2021-12-23,Fashion,Maria,27,16,India,F-203
11811,75,207,Delivered,2021-09-10,Office,Stella,23,14,USA,O-630
22124,72,183,Not Shipped,2021-07-08,Home,Jacob,29,20,USA,H-901
22989,11,169,Not Delivered,2021-08-24,Fashion,Pablo,21,19,India,F-630
43925,11,110,Delivered,2021-08-24,Home,Pablo,35,13,UK,H-101
38389,22,103,Not Delivered,2021-12-09,Fashion,Abdul,25,16,Germany,F-188
31493,2,146,Delivered,2021-10-12,Fashion,Abdul,23,20,Singapore,F-203
34199,48,218,Shipped,2021-12-09,Entertainment,Abdul,32,12,China,ENT-630
18089,85,135,Shipped,2021-08-06,Fashion,Abdul,30,24,India,F-188
19308,63,109,Shipped,2021-12-10,Entertainment,Kristen,28,15,Singapore,ENT-555
32197,33,121,Delivered,2021-07-25,Entertainment,Abdul,28,15,UK,ENT-203
18483,78,110,Not Delivered,2021-10-26,Office,Pablo,20,12,Singapore,O-630
40056,95,180,Delivered,2021-09-19,Healthcare,Pablo,35,18,UK,HC-203
31740,58,133,Delivered,2021-07-30,Healthcare,Sofia,21,18,Singapore,HC-555
42511,95,114,Not Shipped,2021-09-16,Home,Kristen,23,17,Germany,H-203
41086,85,174,Delivered,2021-09-18,Entertainment,Anthony,35,13,Singapore,ENT-630
23909,38,186,Shipped,2021-07-05,Office,Stella,25,14,Italy,O-630
22396,14,144,Shipped,2021-08-24,Fashion,Sofia,31,19,UK,F-203
33367,19,132,Not Delivered,2021-10-19,Entertainment,John,24,21,UK,ENT-203
23629,80,186,Shipped,2021-07-30,Fashion,Kristen,24,25,UK,F-901
43042,39,136,Not Shipped,2021-10-04,Office,Abdul,25,13,Italy,O-203
30705,83,101,Delivered,2021-07-16,Fashion,Kristen,35,18,Singapore,F-555
20334,34,133,Not Delivered,2021-07-14,Fashion,Anthony,35,13,Singapore,F-630
35796,95,104,Shipped,2021-12-09,Fashion,Sofia,32,25,Germany,F-630
10421,51,101,Shipped,2021-12-10,Fashion,Kristen,33,13,India,F-630
14079,29,110,Not Delivered,2021-10-02,Entertainment,Emma,30,14,USA,ENT-901
44762,68,157,Delivered,2021-09-14,Office,John,34,12,Singapore,O-188
24149,50,125,Not Shipped,2021-07-10,Fashion,Emma,32,13,Kenya,F-901
16487,38,215,Shipped,2021-07-07,Fashion,Sofia,35,15,UK,F-101
30340,98,164,Not Delivered,2021-10-03,Healthcare,Emma,26,12,Italy,HC-188
39205,60,248,Not Delivered,2021-10-06,Healthcare,Stella,26,14,Italy,HC-188
31357,99,238,Not Shipped,2021-12-23,Entertainment,Emma,22,19,Kenya,ENT-188
11323,54,121,Not Delivered,2021-10-29,Fashion,Pablo,28,13,Germany,F-901
31880,49,249,Shipped,2021-07-14,Entertainment,John,20,25,Singapore,ENT-203
20675,62,114,Not Delivered,2021-09-24,Home,Emma,20,23,Kenya,H-188
30842,74,249,Delivered,2021-12-08,Fashion,Pablo,24,15,Kenya,F-901
47248,5,213,Not Delivered,2021-09-06,Entertainment,Maria,35,19,UK,ENT-630
13213,6,202,Not Shipped,2021-07-11,Fashion,Emma,21,15,USA,F-630
16516,82,176,Not Delivered,2021-11-24,Healthcare,Stella,34,21,India,HC-101
36338,47,123,Not Delivered,2021-09-02,Office,Pablo,25,17,Singapore,O-630
25494,1,126,Delivered,2021-10-10,Fashion,Kristen,24,12,Italy,F-630
25980,35,166,Not Shipped,2021-09-19,Healthcare,John,26,17,Singapore,HC-630
16628,77,176,Shipped,2021-12-22,Office,Stella,23,22,Singapore,O-203
31050,17,228,Not Shipped,2021-07-12,Home,Maria,34,12,Singapore,H-901
31911,88,106,Shipped,2021-10-01,Entertainment,Maria,33,13,Germany,ENT-630
16753,74,222,Delivered,2021-09-21,Fashion,Kristen,21,12,USA,F-188
40474,89,100,Delivered,2021-07-29,Office,Emma,23,20,India,O-901
32857,41,183,Delivered,2021-10-29,Healthcare,Stella,32,24,UK,HC-188
41301,63,244,Not Delivered,2021-07-14,Entertainment,Abdul,32,17,Germany,ENT-555
41220,36,186,Not Delivered,2021-11-20,Entertainment,John,24,19,Singapore,ENT-188
